Stf;Pos.;Material P;Objektkurztext;   Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
0;0;500550869;City-Tram M33-3-Teiler/Ein-Richter Typ-A;1;ST;86;SP;1;PD;E;FERT;;;;;;
1;3;500563101;Farbe 203;1;ST;86;SP;1;PD;E;HALB;1;15;INV;B-GOT001;;
2;1;558344CM1;Montage Isolierung Kopf-Front;1;ST;86;SP;300;PD;E;HALB;1;15;INV;B-GOT001;;
3;1;500585186;KIT - Montage Isolierung Kopf-Front;1;ST;86;SP;1;PD;F;ROH;;88;PK01;74923;W06;
3;130;500598240;Schutzrohr;1;ST;86;SP;1;PD;F;ROH;;88;PK01;76017;W05;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;0;KG;86;SP;1;PD;F;ROH;1;48;PK01;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l;0;KG;86;SP;1;PD;F;ROH;1;48;PK01;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;0;KG;86;SP;1;PD;F;ROH;1;88;PK01;W-VIE001M;W09;
3;135;500598242;Deckel;1;ST;86;SP;1;PD;F;ROH;;88;PK01;76017;W05;
3;150;500520509;Weichaluminium- Klebeband 50mm br.1436 F;136000;M;86;SP;1;PD;F;ROH;1;88;PK01;75417;W02;
3;151;500556242;Wasserschlauch DN 15x19 Elastomer;1640;M;86;SP;1;PD;F;ROH;1;88;PK01;76017;W02;
3;160;500590875;Montage Gewindeplatten;1;ST;86;SP;200;PD;E;HALB;1;15;PK01;75436;;
4;200;500580448;Gewindeplatte;2;ST;86;SP;1;PD;F;ROH;;88;VO90;75436;W05;
4;201;500580449;Gewindeplatte kpl;13;ST;86;SP;1;PD;F;ROH;;88;VO90;75436;W05;
4;202;500267216;Sechskantm.M6 ISO7040-A2-70;4;ST;86;SP;1;ND;F;ROH;;88;VO90;75436;W09;X
4;203;500243160;Scheibe 6 ISO7093-1 200HV-A2;4;ST;86;SP;1;ND;F;ROH;;88;VO90;75436;W09;X
4;204;500289534;Scheibe 5 ISO7093-1 200HV-A2;26;ST;86;SP;1;ND;F;ROH;;88;VO90;75436;W09;X
4;205;500024648;Sechskantm.M5 ISO7040-A2-70;26;ST;86;SP;1;ND;F;ROH;;88;VO90;75436;W09;X
4;206;500504045;Halbrundkopfschr.M5x16 ISO7380-2-A2-70;26;ST;86;SP;1;ND;F;ROH;;88;VO90;75436;W09;X
3;207;700039705;Schlauchklemme 360722 FSt verz.;3;ST;86;SP;1;PD;F;ROH;;88;PK01;76017;W02;
3;208;500368973;Befestigungsbinder EdgeClip T50ROSEC19;2;ST;86;SP;1;ND;F;ROH;;88;PK01;76017;W12;X
3;209;500598753;U-Clip Art.Nr.016662 Form 5;4;ST;86;SP;1;PD;F;ROH;;88;PK01;76017;W02;
3;210;500397891;Kantenschutz GEE62F-A-C natur;185;M;86;SP;1;PD;F;ROH;1;88;PK01;76017;W11;
3;2;500592804;Gewinde nachschneiden Kopf 1/2B;1;ST;86;SP;300;PD;E;HALB;1;15;PK01;75651;;
2;2;558345CM1;Montage Fußboden Kopf-Front;1;ST;86;SP;300;PD;E;HALB;1;15;INV;B-GOT001;;
3;1;500567453;Bodenplatte C1 kpl.;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W06;
3;2;500567455;Bodenplatte;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W06;
3;3;500567472;Bodenplatte C3;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W06;
3;4;500567473;Bodenplatte;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W06;
3;5;500567454;Bodenplatte;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W06;
3;6;500572734;Bodenplatte;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W06;
3;7;500578164;Distanzkeil 1;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W11;
3;8;500572735;Bodenplatte;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W06;
3;10;500576940;Distanzplatte kpl.;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W06;
3;11;500576814;Befestigungswinkel Bl 3x60x83,6 ISO9445;2;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;12;500577048;Aufnahmehuelse kpl.;1;ST;86;SP;1;PD;F;ROH;;88;PK01;71509;W05;
3;13;500576959;Blindstopfen, rund M20x1,5 Ms 6700620;1;ST;86;SP;1;ND;F;ROH;;88;PK01;B-GOT001;W02;X
3;14;500576938;Rohr fuer Wasserablauf kpl.;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;15;500576812;Rohr fuer Wasserablauf kpl.;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;16;500578165;Distanzkeil 2;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W11;
3;18;500580553;Blechschr.ST5,5x16-C-H ISO7050-A4-70;3;ST;86;SP;1;ND;F;ROH;;88;PK01;B-GOT001;W02;X
3;19;700034865;Blechschr.ST4,8x16-C-H ISO7049-A2-70;8;ST;86;SP;1;ND;F;ROH;;88;PK01;B-GOT001;W09;X
3;20;500305917;Elastikp. 3M Bumpon SJ5003 5mm skl.;60;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W09;X
3;21;815001379;Elastikp. 3M Bumpon SJ5007 2,5mm skl;20;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;22;500327344;Elastikp 3M Bumpon SJ5012 3,5mm skl.;10;ST;86;SP;1;ND;F;ROH;;88;PK01;B-GOT001;W10;X
3;23;500309395;Elastikp. 3M Bumpon SJ5780 5,5mm skl.;10;ST;86;SP;1;ND;F;ROH;;88;PK01;B-GOT001;W10;X
